
# Curve 0 of 1, 50 points
# Curve title: "0.5+rand(0)"
# x y type
 0  1.03599  i
 0.204082  1.32571  i
 0.408163  0.57801  i
 0.612245  1.4811  i
 0.816327  1.06775  i
 1.02041  1.01599  i
 1.22449  0.737008  i
 1.42857  1.16239  i
 1.63265  0.728051  i
 1.83673  1.17637  i
 2.04082  0.744263  i
 2.2449  1.39483  i
 2.44898  1.26419  i
 2.65306  1.39019  i
 2.85714  1.27928  i
 3.06122  1.19064  i
 3.26531  1.28224  i
 3.46939  0.60274  i
 3.67347  0.7401  i
 3.87755  1.26625  i
 4.08163  0.766244  i
 4.28571  0.781029  i
 4.4898  1.19405  i
 4.69388  0.78542  i
 4.89796  1.08496  i
 5.10204  0.506219  i
 5.30612  1.426  i
 5.5102  1.18478  i
 5.71429  1.43859  i
 5.91837  0.914449  i
 6.12245  1.36656  i
 6.32653  0.959731  i
 6.53061  0.625657  i
 6.73469  1.10087  i
 6.93878  0.989774  i
 7.14286  1.4272  i
 7.34694  0.747134  i
 7.55102  1.09446  i
 7.7551  1.12532  i
 7.95918  1.23385  i
 8.16327  0.719926  i
 8.36735  1.00689  i
 8.57143  0.829974  i
 8.77551  1.28412  i
 8.97959  1.0917  i
 9.18367  1.4173  i
 9.38776  1.09782  i
 9.59184  1.35917  i
 9.79592  0.850186  i
 10  1.02739  i

